class,name
http://www.fairsharing.org/ontology/subject/SRAO_0000232,Sintering
http://www.fairsharing.org/ontology/subject/SRAO_0000044,"Research on Teaching, Learning and Training"
http://www.fairsharing.org/ontology/subject/SRAO_0000309,Angiology
http://www.fairsharing.org/ontology/subject/SRAO_0000265,Geotechnics
http://www.fairsharing.org/ontology/subject/SRAO_0000188,Soft Matter Physics
http://www.fairsharing.org/ontology/subject/SRAO_0000166,Organic Molecular Chemistry
http://www.fairsharing.org/ontology/subject/SRAO_0000301,Oceania Studies
http://www.fairsharing.org/ontology/subject/SRAO_0000137,Cellular Neuroscience
http://www.fairsharing.org/ontology/subject/SRAO_0000065,Private Law
http://www.fairsharing.org/ontology/subject/SRAO_0000297,Industrial and Organisational Psychology
http://www.fairsharing.org/ontology/subject/SRAO_0000198,Geoinformatics
http://www.fairsharing.org/ontology/subject/SRAO_0000014,History of Science
http://www.fairsharing.org/ontology/subject/SRAO_0000246,Microsystems
http://www.fairsharing.org/ontology/subject/SRAO_0000009,Egyptology
http://www.fairsharing.org/ontology/subject/SRAO_0000098,Applied Microbiology
http://www.fairsharing.org/ontology/subject/SRAO_0000202,Human Geography
http://www.fairsharing.org/ontology/subject/SRAO_0000211,Plastics Engineering
http://www.fairsharing.org/ontology/subject/SRAO_0000103,Medical Biometry
http://www.fairsharing.org/ontology/subject/SRAO_0000238,Functional Materials Research
http://www.fairsharing.org/ontology/subject/SRAO_0000047,Biological Psychology
http://www.fairsharing.org/ontology/subject/SRAO_0000240,Materials Structuring and Functionalisation
http://www.fairsharing.org/ontology/subject/SRAO_0000406,Selenography
http://www.fairsharing.org/ontology/subject/SRAO_0000057,Economic Theory
http://www.fairsharing.org/ontology/subject/SRAO_0000254,Theoretical Computer Science
http://www.fairsharing.org/ontology/subject/SRAO_0000177,Food Chemistry
http://www.fairsharing.org/ontology/subject/SRAO_0000286,Landscape Planning
http://www.fairsharing.org/ontology/subject/SRAO_0000027,Comparative Literature
http://www.fairsharing.org/ontology/subject/SRAO_0000036,Roman Catholic Theology
http://www.fairsharing.org/ontology/subject/SRAO_0000109,Pathobiochemistry
http://www.fairsharing.org/ontology/subject/SRAO_0000169,Solid-State Chemistry
http://www.fairsharing.org/ontology/subject/SRAO_0000306,Data Integration
http://www.fairsharing.org/ontology/subject/SRAO_0000224,Thermal Technology
http://www.fairsharing.org/ontology/subject/SRAO_0000315,Community Care
http://www.fairsharing.org/ontology/subject/SRAO_0000185,Theoretical Condensed Matter Physics
http://www.fairsharing.org/ontology/subject/SRAO_0000207,Production Technology
http://www.fairsharing.org/ontology/subject/SRAO_0000134,Medical Physics
http://www.fairsharing.org/ontology/subject/SRAO_0000250,Component Engineering
http://www.fairsharing.org/ontology/subject/SRAO_0000040,Practical Philosophy
http://www.fairsharing.org/ontology/subject/SRAO_0000016,Art History
http://www.fairsharing.org/ontology/subject/SRAO_0000006,Classical Philology
http://www.fairsharing.org/ontology/subject/SRAO_0000403,Metataxonomics
http://www.fairsharing.org/ontology/subject/SRAO_0000184,Experimental Condensed Matter Physics
http://www.fairsharing.org/ontology/subject/SRAO_0000049,Social Psychology
http://www.fairsharing.org/ontology/subject/SRAO_0000032,Islamic Studies
http://www.fairsharing.org/ontology/subject/SRAO_0000165,Inorganic Molecular Chemistry
http://www.fairsharing.org/ontology/subject/SRAO_0000251,Telecommunication Engineering
http://www.fairsharing.org/ontology/subject/SRAO_0000408,Electromagnetism
http://www.fairsharing.org/ontology/subject/SRAO_0000222,Mechanical Process Engineering
http://www.fairsharing.org/ontology/subject/SRAO_0000005,Prehistory
http://www.fairsharing.org/ontology/subject/SRAO_0000039,Theoretical Philosophy
http://www.fairsharing.org/ontology/subject/SRAO_0000400,Medical Virology
http://www.fairsharing.org/ontology/subject/SRAO_0000173,Theoretical Chemistry
http://www.fairsharing.org/ontology/subject/SRAO_0000024,Medieval German Literature
http://www.fairsharing.org/ontology/subject/SRAO_0000221,Technical Chemistry
http://www.fairsharing.org/ontology/subject/SRAO_0000038,History of Philosophy
http://www.fairsharing.org/ontology/subject/SRAO_0000282,Maritime Engineering
http://www.fairsharing.org/ontology/subject/SRAO_0000219,Process Engineering
http://www.fairsharing.org/ontology/subject/SRAO_0000139,Systemic Neuroscience
http://www.fairsharing.org/ontology/subject/SRAO_0000231,Thermomechanical Processing
http://www.fairsharing.org/ontology/subject/SRAO_0000262,Building Engineering Physics
http://www.fairsharing.org/ontology/subject/SRAO_0000248,Human-Machine Systems Engineering
http://www.fairsharing.org/ontology/subject/SRAO_0000023,Literary Studies
http://www.fairsharing.org/ontology/subject/SRAO_0000054,Communication Science
http://www.fairsharing.org/ontology/subject/SRAO_0000264,Applied Mechanics
http://www.fairsharing.org/ontology/subject/SRAO_0000187,"Particles, Nuclei and Fields"
http://www.fairsharing.org/ontology/subject/SRAO_0000136,Molecular Neuroscience
http://www.fairsharing.org/ontology/subject/SRAO_0000064,Philosophy of Law
http://www.fairsharing.org/ontology/subject/SRAO_0000319,Safety Science
http://www.fairsharing.org/ontology/subject/SRAO_0000261,Transportation Planning
http://www.fairsharing.org/ontology/subject/SRAO_0000013,Modern History
http://www.fairsharing.org/ontology/subject/SRAO_0000290,Materials Informatics
http://www.fairsharing.org/ontology/subject/SRAO_0000410,Bathymetry
http://www.fairsharing.org/ontology/subject/SRAO_0000311,American Literature
http://www.fairsharing.org/ontology/subject/SRAO_0000227,Fluid Mechanics
http://www.fairsharing.org/ontology/subject/SRAO_0000128,Cardiothoracic Surgery
http://www.fairsharing.org/ontology/subject/SRAO_0000097,Molecular Microbiology
http://www.fairsharing.org/ontology/subject/SRAO_0000316,Epigenetics
http://www.fairsharing.org/ontology/subject/SRAO_0000012,Early Modern History
http://www.fairsharing.org/ontology/subject/SRAO_0000176,Biomimetic Chemistry
http://www.fairsharing.org/ontology/subject/SRAO_0000308,Statistical Physics
http://www.fairsharing.org/ontology/subject/SRAO_0000320,Endocrinology
http://www.fairsharing.org/ontology/subject/SRAO_0000236,Materials Science
http://www.fairsharing.org/ontology/subject/SRAO_0000045,Professional Socialization
http://www.fairsharing.org/ontology/subject/SRAO_0000300,American Studies
http://www.fairsharing.org/ontology/subject/SRAO_0000161,Clinical Veterinary Medicine
http://www.fairsharing.org/ontology/subject/SRAO_0000296,Mathematical Psychology
http://www.fairsharing.org/ontology/subject/SRAO_0000086,Plant Cell Biology
http://www.fairsharing.org/ontology/subject/SRAO_0000245,Measurement Systems
http://www.fairsharing.org/ontology/subject/SRAO_0000026,European Literature
http://www.fairsharing.org/ontology/subject/SRAO_0000035,Protestant Theology
http://www.fairsharing.org/ontology/subject/SRAO_0000209,Primary Shaping Technology
http://www.fairsharing.org/ontology/subject/SRAO_0000305,Theatre Studies
http://www.fairsharing.org/ontology/subject/SRAO_0000018,Media Studies
http://www.fairsharing.org/ontology/subject/SRAO_0000259,Construction Engineering
http://www.fairsharing.org/ontology/subject/SRAO_0000314,Orthopedic Surgery
http://www.fairsharing.org/ontology/subject/SRAO_0000288,Building Design
http://www.fairsharing.org/ontology/subject/SRAO_0000085,Phytochemistry
http://www.fairsharing.org/ontology/subject/SRAO_0000140,Comparative Neurobiology
http://www.fairsharing.org/ontology/subject/SRAO_0000285,Building Informatics
http://www.fairsharing.org/ontology/subject/SRAO_0000066,Public Law
http://www.fairsharing.org/ontology/subject/SRAO_0000234,Mechanical Behaviour of Construction Materials
http://www.fairsharing.org/ontology/subject/SRAO_0000015,Fine Arts
http://www.fairsharing.org/ontology/subject/SRAO_0000313,Ancient Near Eastern Studies
http://www.fairsharing.org/ontology/subject/SRAO_0000050,Differential Psychology
http://www.fairsharing.org/ontology/subject/SRAO_0000402,Scientific Instrument Design
http://www.fairsharing.org/ontology/subject/SRAO_0000287,Sustainable Building Technology
http://www.fairsharing.org/ontology/subject/SRAO_0000183,Condensed Matter Physics
http://www.fairsharing.org/ontology/subject/SRAO_0000099,Molecular Infection Biology
http://www.fairsharing.org/ontology/subject/SRAO_0000239,Microstructural Mechanical Properties of Materials
http://www.fairsharing.org/ontology/subject/SRAO_0000303,Jewish Studies
http://www.fairsharing.org/ontology/subject/SRAO_0000031,African Studies
http://www.fairsharing.org/ontology/subject/SRAO_0000223,Biological Process Engineering
http://www.fairsharing.org/ontology/subject/SRAO_0000401,Subject Agnostic
http://www.fairsharing.org/ontology/subject/SRAO_0000083,Inter-organismic Interactions of Plants
http://www.fairsharing.org/ontology/subject/SRAO_0000302,Arabian Studies
http://www.fairsharing.org/ontology/subject/SRAO_0000030,Asian Studies
http://www.fairsharing.org/ontology/subject/SRAO_0000218,Thermal Engineering
http://www.fairsharing.org/ontology/subject/SRAO_0000298,Surface Science
http://www.fairsharing.org/ontology/subject/SRAO_0000172,Molecular Physical Chemistry
http://www.fairsharing.org/ontology/subject/SRAO_0000020,Applied Linguistics
http://www.fairsharing.org/ontology/subject/SRAO_0000203,Water Research
http://www.fairsharing.org/ontology/subject/SRAO_0000164,Molecular Chemistry
http://www.fairsharing.org/ontology/subject/SRAO_0000142,Molecular Neurology
http://www.fairsharing.org/ontology/subject/SRAO_0000022,Historical Linguistics
http://www.fairsharing.org/ontology/subject/SRAO_0000053,Empirical Social Research
