LABEL,SubClass Of
Acoustics,Mechanical Engineering|Physics
Aerospace Engineering,Engineering Science
African Studies,Area Studies
Agricultural Economics,Agriculture|Economics
Agricultural Engineering,Agriculture|Civil Engineering|Mechanical Engineering
Agricultural Law,Jurisprudence
Agriculture,Life Science
Agroecology,Agriculture|Ecology
Agronomy,Agriculture
American Literature,Literary Studies
American Studies,Area Studies
Anaesthesiology,Medicine
Analytical Chemistry,Chemistry
Anatomy,Biology|Biomedical Science
Ancient Cultures,Culture|Humanities
Ancient History,Ancient Cultures|History
Ancient Near Eastern Studies,Ancient Cultures|Area Studies
Angiology,Medicine
Animal Breeding,Animal Husbandry
Animal Genetics,Zoology
Animal Husbandry,Agriculture
Animal Nutrition,Agriculture|Nutritional Science
Animal Physiology,Physiology|Zoology
Anthropology,Humanities
Applied Linguistics,Anthropology|Communication Science|Education Science|Linguistics|Psychology
Applied Mathematics,Mathematics
Applied Mechanics,Construction Engineering|Mechanics
Applied Microbiology,Biotechnology|Microbiology
Aquaculture,Fisheries Science
Arabian Studies,Area Studies
Archaeology,Cultural Anthropology
Architecture,Civil Engineering
Area Studies,Anthropology|Culture|Geography|History|Linguistics|Literary Studies|Political Science
Art,Fine Arts
Art History,Fine Arts|History
Artificial Intelligence,Computer Science
Asian Studies,Area Studies
Astrophysics and Astronomy,Physics
Atmospheric Science,Earth Science
"Atomic, Molecular, Optical and Plasma Physics",Physics
Automation,Production Technology
Bathymetry,Hydrography|Oceanography
Behavioural Biology,Zoology
Biochemistry,Biology|Chemistry
Biodiversity,Ecology|Zoology
Bioengineering,Biotechnology|Engineering Science
Bioinformatics,Biology|Informatics
Biological Process Engineering,Chemical Engineering
Biological Psychiatry,Neuroscience
Biological Psychology,Neuroscience|Psychology
Biology,Life Science
Biomaterials,Biotechnology|Materials Science
Biomedical Science,Biology|Health Science
Biomimetic Chemistry,Chemistry|Synthetic Biology
Biophysics,Biology|Physics
Biotechnology,Biology
Biotherapeutics,Medicines Research and Development
Botany,Biology
Building Design,Architecture
Building Engineering Physics,Construction Engineering|Physics
Building Informatics,Construction Engineering|Informatics
Business Administration,Economics
Cardiology,Medicine
Cardiothoracic Surgery,Surgery
Cartography,Geoinformatics
Cell Biology,Biology
Cellular Neuroscience,Neuroscience
Chemical Biology,Biology|Synthetic Chemistry
Chemical Engineering,Chemistry|Process Engineering
Cheminformatics,Biology|Chemistry|Informatics
Chemistry,Natural Science
Civil Engineering,Engineering Science
Classical Philology,Ancient Cultures
