Old IRI|New IRI
http://www.fairsharing.org/ontology/SRAO_0000217|http://aims.fao.org/aos/agrovoc/c_49911
http://www.fairsharing.org/ontology/SRAO_0000247|http://aims.fao.org/aos/agrovoc/c_331401
http://www.fairsharing.org/ontology/SRAO_0000145|http://purl.obolibrary.org/obo/NCIT_C15308
http://www.fairsharing.org/ontology/SRAO_0000141|http://purl.obolibrary.org/obo/OMIT_0001094
http://www.fairsharing.org/ontology/SRAO_0000048|http://purl.obolibrary.org/obo/NCIT_C18740
http://www.fairsharing.org/ontology/SRAO_0000280|http://aims.fao.org/aos/agrovoc/c_6707
http://edamontology.org/topic_2269|http://purl.obolibrary.org/obo/NCIT_C17167
http://www.fairsharing.org/ontology/SRAO_0000061|http://aims.fao.org/aos/agrovoc/c_2468
http://www.fairsharing.org/ontology/SRAO_0000167|http://purl.obolibrary.org/obo/NCIT_C16421
http://edamontology.org/topic_3332|http://purl.obolibrary.org/obo/NCIT_C18470
http://www.fairsharing.org/ontology/SRAO_0000168|http://purl.obolibrary.org/obo/NCIT_C20609
http://www.fairsharing.org/ontology/SRAO_0000171|
http://www.fairsharing.org/ontology/SRAO_0000212|http://purl.obolibrary.org/obo/OMIT_0002710
http://www.fairsharing.org/ontology/SRAO_0000082|http://aims.fao.org/aos/agrovoc/c_5963
http://www.fairsharing.org/ontology/SRAO_0000159|http://aims.fao.org/aos/agrovoc/c_27925
http://www.fairsharing.org/ontology/SRAO_0000158|http://aims.fao.org/aos/agrovoc/c_8532
http://www.fairsharing.org/ontology/SRAO_0000156|http://aims.fao.org/aos/agrovoc/c_16129
http://www.fairsharing.org/ontology/SRAO_0000229|
http://purl.obolibrary.org/obo/OMIT_0028040|http://aims.fao.org/aos/agrovoc/c_3731
http://purl.obolibrary.org/obo/OMIT_0026554|http://aims.fao.org/aos/agrovoc/c_4343
http://www.fairsharing.org/ontology/SRAO_0000204|http://aims.fao.org/aos/agrovoc/c_11669
http://www.fairsharing.org/ontology/SRAO_0000028|http://purl.obolibrary.org/obo/NCIT_C16294
http://www.fairsharing.org/ontology/SRAO_0000029|http://aims.fao.org/aos/agrovoc/c_7128
http://www.fairsharing.org/ontology/SRAO_0000175|
http://www.fairsharing.org/ontology/SRAO_0000090|
http://edamontology.org/topic_3411|http://purl.obolibrary.org/obo/NCIT_C16658
http://www.fairsharing.org/ontology/SRAO_0000116|http://purl.obolibrary.org/obo/OMIT_0028546
http://edamontology.org/topic_3305|http://purl.obolibrary.org/obo/NCIT_C16556
http://www.fairsharing.org/ontology/SRAO_0000104|http://purl.obolibrary.org/obo/NCIT_C17039
http://edamontology.org/topic_3063|http://purl.obolibrary.org/obo/NCIT_C16439
http://edamontology.org/topic_3400|http://purl.obolibrary.org/obo/NCIT_C17099
http://www.fairsharing.org/ontology/SRAO_0000019|http://aims.fao.org/aos/agrovoc/c_1335455465014
http://www.fairsharing.org/ontology/SRAO_0000199|http://aims.fao.org/aos/agrovoc/c_24848
http://www.fairsharing.org/ontology/SRAO_0000196|
http://edamontology.org/topic_3365|
http://edamontology.org/topic_3366|http://www.fairsharing.org/ontology/SRAO_0000306
http://www.fairsharing.org/ontology/SRAO_0000170|
http://www.fairsharing.org/ontology/SRAO_0000081|
http://www.fairsharing.org/ontology/SRAO_0000089|
http://www.fairsharing.org/ontology/SRAO_0000157|
http://www.fairsharing.org/ontology/SRAO_0000117|
http://edamontology.org/topic_0804|http://purl.obolibrary.org/obo/NCIT_C18011
http://www.fairsharing.org/ontology/SRAO_0000021|
http://www.fairsharing.org/ontology/SRAO_0000043|
http://www.fairsharing.org/ontology/SRAO_0000155|http://aims.fao.org/aos/agrovoc/c_8672
http://data.agroportal.lirmm.fr/categories/FARMING|http://aims.fao.org/aos/agrovoc/c_177f109f
http://edamontology.org/topic_3306|http://purl.obolibrary.org/obo/NCIT_C16349
http://edamontology.org/topic_3379|http://purl.obolibrary.org/obo/NCIT_C142642
http://www.fairsharing.org/ontology/SRAO_0000210|
http://www.fairsharing.org/ontology/SRAO_0000237|
http://www.fairsharing.org/ontology/SRAO_0000127|http://purl.obolibrary.org/obo/NCIT_C105699
http://www.fairsharing.org/ontology/SRAO_0000115|http://edamontology.org/topic_3403
http://edamontology.org/topic_3412|
http://www.fairsharing.org/ontology/SRAO_0000133|http://purl.obolibrary.org/obo/NCIT_C17055
http://edamontology.org/topic_3335|http://purl.obolibrary.org/obo/NCIT_C86055
http://www.fairsharing.org/ontology/SRAO_0000226|
http://www.fairsharing.org/ontology/SRAO_0000228|
http://www.fairsharing.org/ontology/SRAO_0000192|
http://www.fairsharing.org/ontology/SRAO_0000256|
http://www.fairsharing.org/ontology/SRAO_0000242|
http://www.fairsharing.org/ontology/SRAO_0000257|http://purl.obolibrary.org/obo/NCIT_C16309
http://www.fairsharing.org/ontology/SRAO_0000058|http://aims.fao.org/aos/agrovoc/c_7132
http://www.fairsharing.org/ontology/SRAO_0000181|
http://www.fairsharing.org/ontology/SRAO_0000213|
http://www.fairsharing.org/ontology/SRAO_0000067|http://purl.obolibrary.org/obo/OMIT_0004711
http://edamontology.org/topic_3070|http://purl.obolibrary.org/obo/NCIT_C16345
http://edamontology.org/topic_3500|http://purl.obolibrary.org/obo/NCIT_C17269
http://edamontology.org/topic_3422|http://purl.obolibrary.org/obo/NCIT_C17243
http://edamontology.org/topic_3416|http://purl.obolibrary.org/obo/OMIT_0010991
http://www.fairsharing.org/ontology/SRAO_0000214|
http://www.fairsharing.org/ontology/SRAO_0000216|
http://www.fairsharing.org/ontology/SRAO_0000069|http://aims.fao.org/aos/agrovoc/c_4318
http://edamontology.org/topic_0091|http://purl.obolibrary.org/obo/NCIT_C17964
http://edamontology.org/topic_0092|http://purl.obolibrary.org/obo/OBI_0200111
http://edamontology.org/topic_0121|http://purl.obolibrary.org/obo/NCIT_C20085
http://edamontology.org/topic_0176|http://purl.obolibrary.org/obo/NCIT_C18097
http://edamontology.org/topic_0202|http://purl.obolibrary.org/obo/NCIT_C16974
http://edamontology.org/topic_0622|http://purl.obolibrary.org/obo/NCIT_C84343
http://edamontology.org/topic_1317|http://purl.obolibrary.org/obo/NCIT_C18111
http://edamontology.org/topic_2229|http://purl.obolibrary.org/obo/NCIT_C17992
http://edamontology.org/topic_2640|http://purl.obolibrary.org/obo/NCIT_C17837
http://edamontology.org/topic_2815|http://purl.obolibrary.org/obo/NCIT_C18220
http://edamontology.org/topic_2840|http://purl.obolibrary.org/obo/NCIT_C17206
http://edamontology.org/topic_3053|http://purl.obolibrary.org/obo/NCIT_C16624
http://edamontology.org/topic_3064|http://purl.obolibrary.org/obo/NCIT_C16501
http://edamontology.org/topic_3295|http://www.fairsharing.org/ontology/SRAO_0000316
http://edamontology.org/topic_3301|http://purl.obolibrary.org/obo/NCIT_C16851
http://edamontology.org/topic_3302|http://purl.obolibrary.org/obo/OMIT_0011270
http://edamontology.org/topic_3303|http://purl.obolibrary.org/obo/OMIT_0009577
http://edamontology.org/topic_3334|http://purl.obolibrary.org/obo/NCIT_C16908
http://edamontology.org/topic_3372|http://purl.obolibrary.org/obo/NCIT_C17147
http://edamontology.org/topic_3375|http://purl.obolibrary.org/obo/NCIT_C26633
http://edamontology.org/topic_3376|http://www.fairsharing.org/ontology/SRAO_0000318
http://edamontology.org/topic_3377|http://www.fairsharing.org/ontology/SRAO_0000319
http://edamontology.org/topic_3404|http://purl.obolibrary.org/obo/NCIT_C16500
http://edamontology.org/topic_3407|http://www.fairsharing.org/ontology/SRAO_0000320
http://edamontology.org/topic_3408|http://purl.obolibrary.org/obo/NCIT_C16673
http://edamontology.org/topic_3409|http://purl.obolibrary.org/obo/NCIT_C16603
http://edamontology.org/topic_3417|http://purl.obolibrary.org/obo/NCIT_C16939
http://edamontology.org/topic_3419|http://purl.obolibrary.org/obo/NCIT_C17026
http://edamontology.org/topic_3420|http://purl.obolibrary.org/obo/OMIT_0027812
http://edamontology.org/topic_3421|http://purl.obolibrary.org/obo/NCIT_C17173
http://edamontology.org/topic_3473|http://purl.obolibrary.org/obo/OMIT_0026929
http://edamontology.org/topic_3489|http://purl.obolibrary.org/obo/NCIT_C18729
http://edamontology.org/topic_3572|http://purl.obolibrary.org/obo/NCIT_C142491
http://www.fairsharing.org/ontology/SRAO_0000215|http://purl.obolibrary.org/obo/NCIT_C19638
http://www.fairsharing.org/ontology/SRAO_0000034|http://purl.obolibrary.org/obo/OMIT_0021467
http://www.fairsharing.org/ontology/SRAO_0000149|http://aims.fao.org/aos/agrovoc/c_2018
http://www.fairsharing.org/ontology/SRAO_0000138|http://purl.obolibrary.org/obo/NCIT_C18088
http://www.fairsharing.org/ontology/SRAO_0000201|http://aims.fao.org/aos/agrovoc/c_5836
http://www.fairsharing.org/ontology/SRAO_0000056|http://aims.fao.org/aos/agrovoc/c_2481
http://www.fairsharing.org/ontology/SRAO_0000007|http://purl.obolibrary.org/obo/OMIT_0024194
http://www.fairsharing.org/ontology/SRAO_0000093|http://aims.fao.org/aos/agrovoc/c_25187
http://www.fairsharing.org/ontology/SRAO_0000112|http://purl.obolibrary.org/obo/NCIT_C16931
http://purl.obolibrary.org/obo/OMIT_0010508|http://purl.obolibrary.org/obo/NCIT_C16910
http://www.fairsharing.org/ontology/SRAO_0000152|http://aims.fao.org/aos/agrovoc/c_5956
http://purl.obolibrary.org/obo/OMIT_0012525|http://purl.obolibrary.org/obo/NCIT_C17027
http://www.fairsharing.org/ontology/SRAO_0000084|http://aims.fao.org/aos/agrovoc/c_25189
http://www.fairsharing.org/ontology/SRAO_0000011|http://purl.obolibrary.org/obo/OMIT_0024195
