Old IRI|New IRI
http://www.fairsharing.org/ontology/DRAO_0000001|http://www.fairsharing.org/ontology/domain/DRAO_0000001
http://www.fairsharing.org/ontology/SRAO_0000002|http://www.fairsharing.org/ontology/subject/SRAO_0000002
http://www.fairsharing.org/ontology/SRAO_0000004|http://www.fairsharing.org/ontology/subject/SRAO_0000004
http://www.fairsharing.org/ontology/SRAO_0000005|http://www.fairsharing.org/ontology/subject/SRAO_0000005
http://www.fairsharing.org/ontology/SRAO_0000006|http://www.fairsharing.org/ontology/subject/SRAO_0000006
http://www.fairsharing.org/ontology/SRAO_0000009|http://www.fairsharing.org/ontology/subject/SRAO_0000009
http://www.fairsharing.org/ontology/SRAO_0000012|http://www.fairsharing.org/ontology/subject/SRAO_0000012
http://www.fairsharing.org/ontology/SRAO_0000013|http://www.fairsharing.org/ontology/subject/SRAO_0000013
http://www.fairsharing.org/ontology/SRAO_0000014|http://www.fairsharing.org/ontology/subject/SRAO_0000014
http://www.fairsharing.org/ontology/SRAO_0000015|http://www.fairsharing.org/ontology/subject/SRAO_0000015
http://www.fairsharing.org/ontology/SRAO_0000016|http://www.fairsharing.org/ontology/subject/SRAO_0000016
http://www.fairsharing.org/ontology/SRAO_0000017|http://www.fairsharing.org/ontology/subject/SRAO_0000017
http://www.fairsharing.org/ontology/SRAO_0000018|http://www.fairsharing.org/ontology/subject/SRAO_0000018
http://www.fairsharing.org/ontology/SRAO_0000020|http://www.fairsharing.org/ontology/subject/SRAO_0000020
http://www.fairsharing.org/ontology/SRAO_0000022|http://www.fairsharing.org/ontology/subject/SRAO_0000022
http://www.fairsharing.org/ontology/SRAO_0000023|http://www.fairsharing.org/ontology/subject/SRAO_0000023
http://www.fairsharing.org/ontology/SRAO_0000024|http://www.fairsharing.org/ontology/subject/SRAO_0000024
http://www.fairsharing.org/ontology/SRAO_0000025|http://www.fairsharing.org/ontology/subject/SRAO_0000025
http://www.fairsharing.org/ontology/SRAO_0000026|http://www.fairsharing.org/ontology/subject/SRAO_0000026
http://www.fairsharing.org/ontology/SRAO_0000027|http://www.fairsharing.org/ontology/subject/SRAO_0000027
http://www.fairsharing.org/ontology/SRAO_0000030|http://www.fairsharing.org/ontology/subject/SRAO_0000030
http://www.fairsharing.org/ontology/SRAO_0000031|http://www.fairsharing.org/ontology/subject/SRAO_0000031
http://www.fairsharing.org/ontology/SRAO_0000032|http://www.fairsharing.org/ontology/subject/SRAO_0000032
http://www.fairsharing.org/ontology/SRAO_0000033|http://www.fairsharing.org/ontology/subject/SRAO_0000033
http://www.fairsharing.org/ontology/SRAO_0000035|http://www.fairsharing.org/ontology/subject/SRAO_0000035
http://www.fairsharing.org/ontology/SRAO_0000036|http://www.fairsharing.org/ontology/subject/SRAO_0000036
http://www.fairsharing.org/ontology/SRAO_0000038|http://www.fairsharing.org/ontology/subject/SRAO_0000038
http://www.fairsharing.org/ontology/SRAO_0000039|http://www.fairsharing.org/ontology/subject/SRAO_0000039
http://www.fairsharing.org/ontology/SRAO_0000040|http://www.fairsharing.org/ontology/subject/SRAO_0000040
http://www.fairsharing.org/ontology/SRAO_0000041|http://www.fairsharing.org/ontology/subject/SRAO_0000041
http://www.fairsharing.org/ontology/SRAO_0000042|http://www.fairsharing.org/ontology/subject/SRAO_0000042
http://www.fairsharing.org/ontology/SRAO_0000044|http://www.fairsharing.org/ontology/subject/SRAO_0000044
http://www.fairsharing.org/ontology/SRAO_0000045|http://www.fairsharing.org/ontology/subject/SRAO_0000045
http://www.fairsharing.org/ontology/SRAO_0000047|http://www.fairsharing.org/ontology/subject/SRAO_0000047
http://www.fairsharing.org/ontology/SRAO_0000049|http://www.fairsharing.org/ontology/subject/SRAO_0000049
http://www.fairsharing.org/ontology/SRAO_0000050|http://www.fairsharing.org/ontology/subject/SRAO_0000050
http://www.fairsharing.org/ontology/SRAO_0000052|http://www.fairsharing.org/ontology/subject/SRAO_0000052
http://www.fairsharing.org/ontology/SRAO_0000053|http://www.fairsharing.org/ontology/subject/SRAO_0000053
http://www.fairsharing.org/ontology/SRAO_0000054|http://www.fairsharing.org/ontology/subject/SRAO_0000054
